31.0,74.0,0.0,Haze,2023-11-11 09:00,2023-11-11 15:09:12
31.0,73.0,0.0,Haze,2023-11-11 09:19,2023-11-11 15:19:13
30.0,74.0,0.0,Haze,2023-11-11 09:30,2023-11-11 15:29:13
30.0,72.0,0.0,Haze,2023-11-11 09:39,2023-11-11 15:39:14
30.0,73.0,0.0,Haze,2023-11-11 10:00,2023-11-11 15:49:15
30.0,74.0,0.0,Haze,2023-11-11 10:00,2023-11-11 15:59:15
30.0,74.0,0.0,Haze,2023-11-11 11:00,2023-11-11 16:50:36
30.0,74.0,0.0,Haze,2023-11-11 11:00,2023-11-11 17:00:36
30.0,74.0,0.0,Haze,2023-11-11 11:10,2023-11-11 17:10:37
30.0,75.0,0.0,Haze,2023-11-11 11:30,2023-11-11 17:20:38
30.0,75.0,0.0,Haze,2023-11-11 11:30,2023-11-11 17:30:38
30.0,75.0,0.0,Haze,2023-11-11 11:40,2023-11-11 17:40:39
29.0,76.0,0.0,Haze,2023-11-11 11:50,2023-11-11 17:50:39
29.0,76.0,0.0,Haze,2023-11-11 12:00,2023-11-11 18:00:40
29.0,76.0,0.0,Haze,2023-11-11 12:10,2023-11-11 18:10:40
29.0,76.0,0.0,Haze,2023-11-11 12:30,2023-11-11 18:20:41
29.0,76.0,0.0,Haze,2023-11-11 12:30,2023-11-11 18:30:42
29.0,76.0,0.0,Haze,2023-11-11 12:40,2023-11-11 18:40:42
29.0,76.0,0.0,Fog,2023-11-11 13:00,2023-11-11 18:50:43
29.0,76.0,0.0,Fog,2023-11-11 13:00,2023-11-11 19:00:43
29.0,76.0,0.0,Fog,2023-11-11 13:10,2023-11-11 19:10:44
29.0,76.0,0.0,Fog,2023-11-11 13:30,2023-11-11 19:20:44
29.0,76.0,0.0,Fog,2023-11-11 13:30,2023-11-11 19:30:45
29.0,76.0,0.0,Fog,2023-11-11 13:40,2023-11-11 19:40:45
29.0,76.0,0.0,Fog,2023-11-11 14:00,2023-11-11 19:50:46
29.0,76.0,0.0,Fog,2023-11-11 14:00,2023-11-11 20:00:47
29.0,76.0,0.0,Fog,2023-11-11 14:10,2023-11-11 20:10:47
29.0,77.0,0.0,Fog,2023-11-11 14:30,2023-11-11 20:20:48
29.0,78.0,0.0,Fog,2023-11-11 14:30,2023-11-11 20:30:48
29.0,78.0,0.0,Fog,2023-11-11 14:40,2023-11-11 20:40:49
29.0,79.0,0.0,Fog,2023-11-11 15:00,2023-11-11 20:50:50
29.0,79.0,0.0,Fog,2023-11-11 15:00,2023-11-11 21:00:50
29.0,79.0,0.0,Fog,2023-11-11 15:10,2023-11-11 21:10:51
29.0,79.0,0.0,Fog,2023-11-11 15:20,2023-11-11 21:20:51
